Player,Pos.,School,Grade,Team,Rank,Wins,Losses
1. Jameis Winston*,QB,Florida St,97,Tampa Bay,1,2,14
2. Leonard Williams*,DE,USC,96,New York Jets,6,4,12
3. Amari Cooper*,WR,Alabama,93,Oakland Raiders,4,3,13
4. Kevin White,WR,W Virginia,93,Chicago Bears,7,5,11
5. Marcus Mariota*,QB,Oregon,93,Tennessee Titans,2,2,14
6. Randy Gregory*,OLB,Nebraska,93,Dallas Cowboys,60,12,4
7. Arik Armstead*,DE,Oregon,92,San Francisco 49ers,17,8,8
8. Brandon Scherff,T,Iowa,92,Washington Redskins,5,4,12
9. Danny Shelton,DT,Washington,93,Cleveland Browns,12,7,9
10. Andrus Peat*,OT,Stanford,90,New Orleans Saints,13,7,9
11. DeVante Parker,WR,Louisville,92,Miami Dolphins,14,8,8
12. Dante Fowler Jr.*,DE,Florida,92,Jacksonville Jaguars,3,3,13
13. Malcom Brown*,DT,Texas,91,New England Patriots,32,12,4
14. Todd Gurley*,RB,Georgia,91,St Louis Rams,10,6,10
15. Shane Ray*,OLB,Missouri,91,Denver Broncos,23,12,4
16. Trae Waynes*,CB,Michigan St,91,Minnesota Vikings,11,7,9
17. Landon Collins*,S,Alabama,90,New York Giants,33,6,10
18. Cameron Erving,C,Florida St,90,Cleveland Browns,19,7,9
19. Ereck Flowers*,OT,Miami (FL),90,New York Giants,9,6,10
20. Eddie Goldman*,DT,Florida St,90,Chicago Bears,39,5,11
21. Marcus Peters*,CB,Washington,90,Kansas City Chiefs,18,9,7
22. T.J. Clemmings,T,Pittsburgh,89,Minnesota Vikings,110,7,9
23. La'el Collins,?,LSU,88,Dallas Cowboys,n/a,12,4
24. Breshad Perriman*,WR,UCF,89,Baltimore Ravens,26,10,6
25. Vic Beasley,OLB,Clemson,89,Atlanta Falcons,8,6,10
26. Melvin Gordon*,RB,Wisconsin,89,San Diego Chargers,15,9,7
27. Jaelen Strong*,WR,Arizona St,89,Houston Texans,70,9,7
28. Kevin Johnson,CB,Wake Forest,89,Houston Texans,16,9,7
29. Carl Davis,DT,Iowa,86,Baltimore Ravens,90,10,6
30. D. Green-Beckham*,WR,Missouri,88,Tennessee Titans,40,2,14
31. Eli Harold*,OLB,Virginia,88,San Francisco 49ers,79,8,8
32. Jalen Collins*,CB,LSU,88,Atlanta Falcons,42,6,10
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
