ID ,NFC,Team Name,Wins,Loss,Tied,PCT,Playoff Berth,Clinched Division,Clinched 1st Round Bye
1,0,New England Patriots,12,4,0,750,1,1,1
2,0,Buffalo Bills,9,7,0,562,0,0,0
3,0,Miami Dolphins,8,8,0,500,0,0,0
4,0,New York Jets,4,12,0,250,0,0,0
5,0,Pittsburgh Steelers,11,5,0,688,1,1,0
6,0, Cincinnati Bengals,10,5,1,656,1,1,0
7,0,Baltimore Ravens,10,6,0,625,1,0,0
8,0,Cleveland Browns,7,9,0,438,0,0,0
9,0,Indianapolis Colts,11,5,0,688,1,1,0
10,0,Houston Texans,9,7,0,562,0,0,0
11,0,Jacksonville Jaguars,3,13,0,188,0,0,0
12,0,Tennessee Titans,2,14,0,125,0,0,0
13,0,Denver Broncos,12,4,0,750,1,1,0
14,0,Kansas City Chiefs,9,7,0,562,0,0,0
15,0,San Diego Chargers,9,7,0,562,0,0,0
16,0,Oakland Raiders,3,13,0,188,0,0,0
17,1,Dallas Cowboys,12,4,0,750,1,1,0
18,1,Philadelphia Eagles,10,6,0,625,0,0,0
19,1,New York Giants,6,10,0,375,0,0,0
20,1,Washington Redskins,4,12,0,250,0,0,0
21,1,Green Bay Packers,12,4,0,750,1,1,0
22,1,Detroit Lions,11,5,0,688,1,0,0
23,1,Minnesota Vikings,7,9,0,438,0,0,0
24,1,Chicago Bears,5,11,0,312,0,0,0
25,1,Carolina Panthers,7,8,1,469,1,1,0
26,1,New Orleans Saints,7,9,0,438,0,0,0
27,1,Atlanta Falcons,6,10,0,375,0,0,0
28,1,Tampa Bay Buccaneers,2,14,0,125,0,0,0
29,1,Seattle Seahawks,12,4,0,750,1,1,1
30,1,Arizona Cardinals,11,5,0,688,1,0,0
31,1,San Francisco 49ers,8,8,0,500,0,0,0
32,1,St. Louis Rams,6,10,0,375,0,0,0
