Team,Ball,Pressure
Patriots,P1,11.5
Patriots,P2,10.85
Patriots,P3,11.15
Patriots,P4,10.7
Patriots,P5,11.1
Patriots,P6,11.6
Patriots,P7,11.85
Patriots,P8,11.1
Patriots,P9,10.95
Patriots,P10,10.5
Patriots,P11,10.9
Colts,C1,12.7
Colts,C2,12.75
Colts,C3,12.5
Colts,C4,12.55
Patriots,P1,11.8
Patriots,P2,11.2
Patriots,P3,11.5
Patriots,P4,11
Patriots,P5,11.45
Patriots,P6,11.95
Patriots,P7,12.3
Patriots,P8,11.55
Patriots,P9,11.35
Patriots,P10,10.9
Patriots,P11,11.35
Colts,C1,12.35
Colts,C2,12.3
Colts,C3,12.95
Colts,C4,12.15
