Knowledge,Financial Analysts,Business Intelligence Analysts,Industrial Engineers
Administration and Management,3.26,3.33,3.45
Clerical,2.27,2.33,2.89
Economics and Accounting,4.69,3.09,2.17
Sales and Marketing,3.02,3.78,2.05
Customer and Personal Service,3.34,2.79,3.22
Personnel and Human Resources,2.39,2,2.18
Production and Processing,2.19,2.04,4.37
Computers and Electronics,3.96,3.29,3.47
Engineering and Technology,2.02,2.46,4.42
Design,1.42,1.5,3.81
Building and Construction,1.79,1.12,2.06
Mechanical,1.71,1.33,3.95
Mathematics,4.31,3.33,4.08
Physics,1.52,1.42,2.87
Chemistry,1.4,1.54,2.62
Psychology,2.63,2.42,2.13
Sociology and Anthropology,2.17,2.17,1.83
Geography,2.34,2.38,1.54
Education and Training,2.6,2.67,3.4
English Language,4.39,3.96,3.7
Public Safety and Security,1.61,1.75,2.72
Law and Government,3.29,2.62,1.93
Telecommunications,2.32,2.21,1.94
Communications and Media,3.45,3.04,2.15
Transportation,2.07,1.54,2.33
