Skills,BI_Analysts,Biologists,Pharmacists
Reading Comprehension,3.88,4,4.12
Active Listening,3.88,4,4
Writing,3.5,4,3.88
Speaking,3.75,4,3.88
Mathematics,3.25,3.75,3.38
Science,1.88,4.62,3.75
Critical Thinking,4,4,3.88
Active Learning,3.75,3.88,3.62
Learning Strategies,3,3.12,3
Monitoring,3.25,3.38,3.88
Social Perceptiveness,3.38,3.25,3.5
Coordination,3.25,3.12,3.38
Persuasion,3.12,2.75,3
Negotiation,2.88,2.62,3
Instructing,2.88,3.25,3.88
Service Orientation,2.75,2.62,3.88
Complex Problem Solving,3.38,3.88,3.5
Operations Analysis,2.25,1.75,2.75
Technology Design,2.25,1.75,1.75
Equipment Selection,1.25,1.25,1.25
Installation,1.12,1,1
Programming,2.62,2.75,1.62
Operation Monitoring,1.75,2.25,2.12
Operation and Control,1.25,1.62,1.12
Equipment Maintenance,1.38,1,1
Troubleshooting,1.25,1.75,1.88
Repairing,1,1,1
Quality Control Analysis,2,2.5,2.5
Judgment and Decision Making,3.62,3.62,3.75
Systems Analysis,3.5,3.12,3.12
Systems Evaluation,3.38,3,2.88
Time Management,3.5,3,3.62
Management of Financial Resources,2.38,1.75,2.25
Management of Material Resources,2.25,1.88,2.75
Management of Personnel Resources,2.75,3.12,3.5
